약어,원어,설명,참고자료
TPS,THROTTLE POSITION SENSOR,트로틀 밸브 위치 감지기. (연료 분사량 제어) 엔진에 부착되어 있으며 트로틀 밸브의 개폐 각도를 감지후 ECU로 전송하여 연료 분사량을 보정. 로타리식 가변 저항으로 믹서의 트로틀 샤프트와 함께 회전하면서 드로틀 밸브의 각을 감지한다.,-
TPS & F/B SOL,THROTTLE POSITION SENSOR AND FEED BACK SOLENOID,TPS 궤환 솔레노이드.,-
TPS & F/CUT SOL,THROTTLE POSITION SENSOR AND FUEL CUT SOLENOID,트로틀 밸브 위치 감지기 및 연료 차단 솔레노이드.,-
TPWS,TIRE PRESSURE WARNING SYSTEM,타이어 압력 경보 장치. 타이어의 공기압이 낮을 경우에 운전자에게 알려주는 경고 장치,-
TRANSAXLE,TRANSAXLE,변속장치와 구동축이 일체화 된 것으로 전륜구동 자동차 등에서 사용하는 동력전달 장치 참고 :: http://en.wikipedia.org/wiki/Transaxle,-
TRIP C/S,TRIP COUMPUTER SYSTEM,현재 잔류 연료로 갈수 있는 거리/순간 연비/평균 속도/차량의 위치표시 등을 지원해주는 SYSTEM.,-
TRIP METER,-,"운전자가 그때 그때 달린 거리를 체크할 수 있는 계기. 버튼을 누르면 0으로 되어 그때부터 달린 거리가 나타난다. 거리를 잴 때, 연비를 계산할 때 쓰기 좋다.",-
TRIPLE SW,TRIPLE SWITCH,온도 SETTING에 따라 작동하는 스윗치. (1℃ 단위로 조절),-
TRO,TOTAL RUN OUT,브레이크 DISC를 AXLE에 장착한 상태에서 회전축을 고정하고 디스크를 한바퀴 회전시켰을때 제동면이 움직이는 거리(Run Out)를 말함,-
TRU,Transport Refrigeration Units,"운송 냉동 시스템. 온도에 민감한 상품을 운송하는데 쓰이는 카고 트레일러, 일자형 트럭, 철도 등에 설치된 냉각 시스템.",-
TRUNK SW,-,"트렁크를 열면 ON, 트렁크를 닫으면 OFF 됨.",-
TS,TAIL SIGNAL,LIGHT SW(TS),-
TS_DR_ACT,TWIN SWING DOOR ACTUATOR,트윈 스윙 도어 액추에이터,-
TSA,Trailer Stability Assist,트레일러 안정성 보조 시스템.,-
TSP,Top Safety Pick,"톱 세이프티 픽. IIHS 충돌안전 평가 최우수 등급. 최고 안전성을 나타낸 차량에는 'TSP+' 등급을, 양호한 수준의 성적을 낸 차량에는 'TSP' 등급을 매김.",-
TSR,Traffic Sign Recognition,속도 표지판 인식 시스템. 전방 카메라 영상에 촬영된 주행 도로 영상에서 속도 표지 제한과 관련된 표지판을 인식하여 현 주행 도로의 제한 속도 정보를 운전자에게 제공하는 편의 시스템.,-
TTR,TOURIST TROPHY RACE,RAC(영국왕실)이 주최하는 TT 레이스.,-
TUNER,TUNER,"동조기라고도 한다. 적당한 인덕턴스(코일)와 용량(콘덴서)을 조합시킨 장치이다. 일반적으로 코일과 콘덴서의 한쪽 또는 양쪽을 가변(可變)으로 하고, 또는 조합을 바꿀 수 있게 하여 여러 가지 주파수에 동조할 수 있게 한 것이 많다.",-
TUNER_UNIT,TUNER UNIT,"동조기라고도 한다. 적당한 인덕턴스(코일)와 용량(콘덴서)을 조합시킨 장치이다. 일반적으로 코일과 콘덴서의 한쪽 또는 양쪽을 가변(可變)으로 하고, 또는 조합을 바꿀 수 있게 하여 여러 가지 주파수에 동조할 수 있게 한 것이 많다.",-
TUNING,-,"CLUTCH DISC의 비틀림 특성을 차량에 최적이 되도록 조정하는 것. 엔진 내의 압력파를 이용, 흡기 및 배기 시스템을 최적화 시키는 작업을 말함.",-
TVBB,Torque Vectoring Brake Base,토크 벡터링 브레이크 시스템. 특정 바퀴의 동력을 제어할 수 있게 해주는 시스템 - 좌우 휠에 서로 다른 토크가 작용하도록 해서 차량을 회전시키는 모멘트(Yaw moment)를 발생하는 장치.,-
TW,TWEETER,고음 영역을 중점적으로 재생시켜주는 스피커,-
TWTR_FL,TWEET FRONT LEFT,고음 영역을 중점적으로 재생시켜주는 스피커,-
TWTR_SPKR,TWISTER SPEAKER,고음용 스피커 (cf. woofer speaker),-
TX ADVER LP,TAXI ADVERTISE LAMP,택시 광고 램프,-
TX EMER LP,TAXI EMERGENCY LAMP,택시 비상 램프,-
TX EMER SW,TAXI EMERGENCY SWITCH,택시 비상 스위치,-
TX EMPTY LP,TAXI EMPTY LAMP,택시 승객없음(빈차) 램프,-
TX F/TANK GAUGE,TAXI FUEL TANK GAUGE,택시 연료탱크 게이지,-
TX METER,TAXI METER,택시 거리 산정용 미터.,-
TX SIG LP,TAXI SIGNAL LAMP,택시 지붕에 있는 택시 표시 램프.,-
TXV,THERMAL EXPANSION VALVE,고온 확장밸브. 냉매를 급속 팽창시켜 저온저압 액체가 되게함,-
U/BOD,UNDER BODY,차체 조립시 MAIN BIUCK 공정이전에 SUB되는 FLOOR 아래 쪽의 BODY 구조,-
U/BODY,UNDER BODY,차체 조립시 MAIN BLUCK 공정이전에 SUB되는 FLOOR 아래 쪽의 BODY 구조,-
U/H J/BOX,UNDERHOOD JUNCTION BOX,실외에 장착되는 정션 박스.,-
U/S,USAGE,차한대당 제작에 필요한 부품갯수,-
UAD,Urban Autonomous Driving,"도심 자율주행. 도심 혼잡구간을 안전하게 지나도록 안내해 주는 기능으로서, GPS와 차선 정보 및 주변 구조물 인식 등을 이용하여 차량의 위치와 방향을 정확하게 인식함.",-
UAM,Urban Air Mobility,도심 항공 모빌리티. 3차원 공중 교통시스템,-
UAW,UNITED AUTOMOBILE WORKERS,미국 자동차 노동 조합.,-
UCM,ULTRASONIC CLEANING MIRROR,차량 백미러의 물기를 초음파를 이용하여 제거하는 시스템.,-
UCM,ULTRASONIC CLEAR MIRROR,실외 후사경의 거울면에 초음파 경면 진동을 통해 거울면에 맺힌 물방울을 제거하는 실외 후사경.,-
UD,UNIFLOW-SCAVENGING DEISEL-ENGINE,단류소기식 디젤 엔진.,-
UEGO,UNIVERSAL A/F HEATED EXHAUST GAS OXYGEN SENSOR,"유해 배출 가스 저감(저공해)을 위한 배출 가스 규제의 강화에 대응하기 위해 보다 정밀한 λ제어와 조기 난기 성능이 필요해짐으로써 표준 Gasoline은 물론 희박 연소 및 직접 분사, 대체 연료 Engine 등의 정밀 λ제어用으로써 개발된 O2 Sensor.",-
UIP,Ultrasonic Intrusion Protection,실내 침입 감지 시스템,-
ULEV,ULTRA LOW EMISSION VEHICLE,"초저공해차. 캘리포니아 배기 규제 단계 중의 하나로써, NMOG 0.040g/mile 규제를 만족하는 차량2004년부터 2008년까지 미국에서 적용되는 가솔린 배기 규제",-
ULT,ULTRA-LIGHT TRANK,신경향 트럭.,-
ULTRA SNSR,ULTRA SENSOR,범퍼에 붙어 뒷쪽의 사물을 감지하는 센서.,-
UNIT_RSE,REAR SEATED ENTERTAINMENT,리어 시티드 엔터테인먼트,-
UPC,UNIFORM PARTS CLASSIFICATION,차를 기능별로 크게 분류,-
UPG,UNIFORM PARTS GROUPING,"자동차의 구성부품을 차체구조, 생산공정, 기능 등을 고려하여 개개의 부품을 적당한 Group으로 분류하여 부여한 번호로서, BOM 구성의 기본단위임",-
UPH,UNIT PER HOUR,시간당 생산대수.,-
UPPER BODY,-,"1)TRUCK 차종에서 CHASSIS CAB에 장착되는 DECK, TANK LORRY등을 칭하는 부분 2)차체조립시 MAIN BLUCK 공정에서 SUB되는 FLOOR 위쪽의 BODY 구조.",-
USAGE,-,각 부품이 적용되는 개수 EX)CONT BANDCABLE USAGE 3 --> CONT에 BANDCABLE이 3군에 적용된다.,-
USM,User Setting Mode,유저 세팅 모드. 사용자가 차량 내부 제어기들을 개인 편의에 맞춰 설정할 수 있는 기능. (기본으로 정의된 값들을 사용자 개인이 설정할 수 있는 기능),-
UTP,Unshielded Twisted Pair Cable,"이더넷 케이블 종류 중에 하나로 차폐 기능이 없는 기본적인 랜선. 원래 전화선 용도로 쓰이다가 현대에서는 주로 근거리 통신망(Local Area Network)을 구축하기 위해 사용되는 케이블. (Ref : FTP, STP)",-
UVW,Unloaded Vehicle Weight,"공차중량. 자동차에 사람이나 짐을 싣지 않고 연료, 냉각수, 윤활유 등을 만재하고 운행에 필요한 기본 장비(예비타이어, 예비부품, 공구 등은 제외)를 갖춘 상태의 차량중량. = CVW (Complete Vehicle kerb Weight), EVW(Empty Vehicle weight)",-
UWB,Ultra Wide Bandwidth,"초광대역, 스마트 폰 통신에 기반하여 스마트카 수준의 편의성 제공 (스마트키 & LF안테나 연동과 같이 스마트폰 & UWB 연동) + 통신 영역에서는 기존의 스펙트럼에 비해 매우 넓은 대역에 걸쳐 낮은 전력으로 대용량의 정보를 전송하는 무선통신 기술",-
V.I.M,VEHICLE INTERFACE MODULE,BUS 전자식 AUTO T/M용 RELAY BOX,-
V.R.P,VARIETY REDUCTION PROGRAM,부품 공용화 및 부품수 감소에 의한 원가절감 방안.,-
V2D,Vehicle-to Device,차량과 디바이스 간 통신. 일례로 스마트폰과의 통신으로 다양한 부가서비스를 제공받을 수 있음,-
V2G 시스템,Vehicle To Grid system,"차량의 V2G 커넥티비티 모듈(VCM)을 통해 전력 그리드와 양방향으로 테이터와 전력 전송을 하는 것. 차주가 요구하는 충전시간, 전력량 등에 따라 자동 충전을 할 수 있고, 전력회사의 피크 타임을 피해 충전하고, 필요 시 거꾸로 전력회사에 전기 공급/판매도 가능한 시스템",-
V2H,Vehicle to Home,"EV, PHV 등 자동차 배터리에 저장된 전력을 가정용 전력으로 이용하는 것을 의미함",-
V2I,Vehicle-to-Infrastructure,차량과 인프라 간 통신,-
V2L,Vehicle to Load,"EV, PHV 등 자동차 배터리에 저장된 전력을 긴급 상황 발생 시 전력기기(PC, 노트북 등)에 전력을 공급할 수 있는 것을 의미",-
V2N,Vehicle-to-Network,차량과 클라우드 간 통신,-
V2P,Vehicle to Pedestrian,차량이 유선 또는 무선망을 통해 보행자의 정보를 주고 받는 기술,-
V2V,Vehicle to Vehicle,차량이 유선 또는 무선망을 통해 다른 차량의 정보를 주고 받는 기술,-
VAC SOL,VACUUM SOLENOID,감속시에 작동. VACUUM 통로 PORT가 바디 트로틀 바로 아래 있어 연소실 진공에 따라 ON-OFF.,-
VAC SW,VACUUM SWITCH,진공 스윗치.,-
VANITY LP,VANITY LAMP,assist 거울쪽에 여성 화장이나 독서를 위해서 설치한 lamp,-
VAPS,VEHICLE AIR PURIFIER SYSTEM,자동차공기정화시스템,-
VAR RESISTOR,VARIABLE RESISTOR,가변 저항기.,-
VARIABLE_SWIRL_ACTR,VARIABLE SWIRL ACTUATOR,S엔진. 배기 가스 검출,-
VARISTOR,-,전압에 따라 저항을 달리하는 세라믹스로 과전압을 방지하는 기구로 사용됨.,-
VAS,VOICE ALARM SYSTEM,"음성경보 시스템. 차량 상태를 음성을 통해 경보해주는 편의장치 (도어열림, 주차브레이크 잠김,안전벨트 미착용,엔진오일 보충 등)",-
VCM,VARIABLE CYLINDER MANAGEMENT,가변 실린더 기술로 연료소모를 줄여주는 기술 오르막길 같은경우 6개의 실린더를 늘 모두 움직이는게 아니라 시내나 고속도로와 같은 정속 주행일 경우네는 6기통을 모두 구동시키지 않고 3기통 혹은 4기통만 가동해 연비를 줄여 주는 기술. 주행 중에는 계기판에 표시되는 초록색의 ‘에코(ECO)’마크를 통해 작동 여부를 확인할 수 있다,-
VCMS,Vehicle Charge Management System,"기존 OBC(On Board Charger) 및 인버터, CCM(Charge Control Module) 통합 시스템",-
VCMs,Vehicle Control Modules,배터리와 더불어 차량 통제 모듈,-
VCU,Vehicle Control Unit,"고속전기차용 차량제어기. 모터 제어기와 함께 토크 제어를 최우선으로 수행하게 되며, 그 외에도 시동 시퀀스 제어, 고장 진단 제어, 에너지 관리 최적 제어 등을 CAN으로 연결된 하위 제어기와 협조하여 수행",-
VCV,VACUUM CONTROL VALUE,부압 제어 밸브.,-
VDC SYSTEM,VEHICLE DYNAMIC CONTROL SYSTEM,급선회시 Yaw Sensor를 이용 감지된 차량의 Yawing을 BRAKE의 적절한 제어 등을 통해 제어하여 차량 선회 안정성 향상,-
VDCU,Vehicle Domain Control Unit,-,-
VDMS,Vehicle Data Monitoring System,차량정보를 실시간 모니터링하는 시스템.,-
VE,VALUE ENGINEERING,"가치공학은 원가절감과 제품가치를 동시에 추구하기 위해 제품 개발에서부터 설계, 생산, 유통, 서비스 등 모든 경영활동의 변화를 추구하는 경영기법으로 가치분석이라고도 한다. 가치공학은 또 다양한 목표를 수용, 그 목표를 가장 값싸고 효율적인 방법으로 달성하는 길을 찾는 기법이다.",-
VENS,VEHICLE ELECTRONIC NAVIGATION SYSTEM,차의 각종 주행 정보를 운전자에게 알려주는 장치.,-
VENT,VENTILATOR,환기 장치.,-
VENT ACTR,VENTILATOR ACTUATER,공기 정화기를 구동하는 엑추레이터,-
VENT SOL,VENT SOLENOID,압력차를 이용한 솔레노이드.,-
VERSINO-1,-,초기 성능/배기규제 만족하는 사양 개발 단계,-
VERSINO-2,-,성능/배기규제 이외에 연비 등 제품 경쟁력 및 상품성 증대 개발단계,-
VERSINO-3,-,내구 문제점 개선 및 요구 조건 개선사양 개발단계,-
VERSINO-4,-,실 차량 문제점 개선 및 모든 개선 요구사양 적용한 개발단계,-
VESS,Virtual Engine Sound System,가상엔진사운드시스템.하이브리드 차량은 내연기관과 달리 엔진의 동작 없이 모터로만 주행이 가능해 엔진소리가 들리지 않아 보행자들이 차량의 접근을 인지하는 못하는 경우가 발생할 수 있다.이에 대비해 모터 힘만으로 시속 20km/h 이하의 저속으로 주행할 경우 차량에 장착된 스피커를 통해 가상의 엔진소리를 차량 외부로 출력하는 것이 가상엔진 사운드 시스템이다.,-
VFD,Vacuum Fluorescent Display,"진공형광 표시관. 형광체를 이용한 자기발광표시소자로서 가전기기의 숫자표시, 자동차계기판 등에 널리 사용.",-
VGR,Variable Gear Ratio,가변기어비. 작은 조향구간에서는 더 세밀하게 반응하고 큰 조향구간에서는 더 빠르게 반응할 수 있도록 스티어링 기어의 비율을 제어하는 기술,-
VGT,VARIABLE GEOMETRY TURBOCHARGER,VGT 엔진에서 나오는 배기가스를 이용하여 터빈을 돌리는데 그 배기가스의 전자식 용량 변화 터보차져,-
VGT,Variable Geometry Turbocharger,가변 형상 터보차져. 저속구간에서 배출가스의 유입통로를 좁혀서 유속을 빠르게 하여(밴튜리관 효과) 저속구간에서도 터보차저의 터빈이 돌아가서 충분한 터보의 효과를 낼 수 있도록 한 것,-
VIC,Vihecle Interface Controller,HPC로부터 제공받은 정보를 기준으로 차량 조향 및 제동 제어 .,-
VIC SERVO,VARIABLE INJECTION CONTROL SERVO,"가변 흡기 제어 서보. 엔진의 회전수에 따라서 최대 토크가 되도록 흡입 공기의 흐름을 조정하며 저속시에는 길게, 저속시에는 짧게 ECU에서 제어한다. 밸브의 구동은 직류 모터로 하며 이 모터로 ECU의 제어에 의해 작동한다. 주로 엔진 RPM에 따라 이 서보 밸브의 목표 위",-
VIDEO_JACK,VIDEO JACK,비디오 잭,-
VIS,Variable Intake System,차량의 속도에 따라 흡입 공기의 배합량을 조절하는 시스템.,-
VL,VAPER-LOCK,베이퍼 록 현상은 내리막길에서 계속하여 브레이크를 밟으면 브레이크 오일이 열을 받아 기포가 발생하여 브레이크가 듣지 않는 현상. (FADE 현상 참조.),-
VLCC,VERY LARGE CRUDE CARRIER,대형 유조선.,-
VMS,VEHICLE MAINTENANCE SYSTEM,차량의 각종 소모품의 교환 주기를 경고함으로써 운전자가 적절한 정비/점검을 할 수 있게 해주는 시스템,-
VOCs,Volatile Organic Compounds,"휘발성 유기 화합물. 탄소와 수소만으로 구성된 탄화수소류와 할로겐화 탄화수소, 질소나 황함유 탄화수소 등 상온, 상압에서 기체 상태로 존재하는 모든 유기성 물질을 통칭하는 의미",-
VPC,Vehicle Platform Controller,자동차 플랫폼 컨트롤러.,-
VPD,Voltage Protection Device,과충전 방지 장치. BMS를 통한 외부 전원(12V)을 인가받아 별도의 릴레이를 동작시켜 배터리 팩의 메인 스위치(즉 메인 릴레이)를 ON/OFF 컨트롤하여 메인 스위치를 통해 인가되는 충전 전류를 차단하는 방식,-
VRS,VARIABLE RACK STROKE,"회전반경제어장치(시스템) 겨울철 타이어체인 장착을 위해 사륜구동 차량의 앞바퀴 안쪽에 확보되어 있는 공간을 활용함으로써 높은 기동성을 발휘할 수 있도록 한 첨단기술이다. 평상시에는 스노체인을 사용하지 않는 점을 고려해 그 공간만큼 앞바퀴를 더 돌릴 수 있는데, 이 효과로 줄일 수 있는 최소 회전반경은 0.8m 정도이다. 특히, 유턴이나 주차를 할 때 높은 기동성을 발휘하도록 설계되어 있다.",-
VRS,VARIABLE RESISTOR SETTING,온도 설정 저항.,-
VRV,VACUUM REGULATOR VALVE,부하 조정 밸브.,-
VS,VISION SYSTEM,영상 인식 시스템. 차량에 설치된 카메라를 통해 주변의 상황을 인식하는 것은 물론 차량 스스로 판단하고 대처하는 무인 자동차 개념의 전자 제어 시스템.,-
VSC,VEHICLE STABILITY CONTROL,자동차의 안정 장치.,-
VSM,Vehicle Stability Assist,샤시 통합 제어 시스템. 비대칭 노면에서의 제동 시 위험을 스스로 판단해 조향장치와 브레이크를 적절히 조절하는 시스템.,-
VSS,VEHICLE SPEED SENSOR,"차속 감지기. 계기 패널에 장착되어 있으며, 트랜스 액슬기어 회전(SPEED CABLE 1회전당 1EA)을 펄스 신호로 바꾸어 ECU로 전송되며 ECU는 이 신호를 기본으로 공회전 속도를 제어함.",-
